benchmark,variant,ns_op,ops_per_sec,iterations,vs_main_pct_diff,vs_baseline_pct_diff
pingpong,Main,177.4,563701,5886330,0.00,-42.27
pingpong,AlternateOne,185.0,540541,6780178,-4.10,-44.64
pingpong,AlternateTwo,161.7,618429,8732972,9.74,-36.66
pingpong,AlternateThree,88.02,1136150,12116050,101.55,16.34
pingpong,Baseline,102.4,976563,12722769,73.27,0.00
latency,Main,11131,89840,114657,0.00,-95.23
latency,AlternateOne,11280,88653,98149,-1.33,-95.30
latency,AlternateTwo,12564,79592,124647,-12.85,-95.78
latency,AlternateThree,11232,88994,124230,-1.20,-95.28
latency,Baseline,530.6,1884642,2233407,1998.78,0.00
multiproducer,Main,213.8,467728,5905206,0.00,-7.03
multiproducer,AlternateOne,170.6,586167,6781516,25.35,-7.00
multiproducer,AlternateTwo,195.4,511771,5209730,-8.63,-1.71
multiproducer,AlternateThree,140.4,712254,8335684,52.26,35.00
multiproducer,Baseline,198.8,503021,5956390,-6.97,0.00
burst,Main,155.8,641851,6984045,0.00,-30.44
burst,AlternateOne,138.5,722022,8617802,12.48,-21.80
burst,AlternateTwo,132.8,753012,10252882,17.31,-18.45
burst,AlternateThree,95.75,1044449,12308528,62.69,13.10
burst,Baseline,108.3,923362,11627061,-30.44,0.00
